年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,3822124.000000,500509.000000,412683.000000,389777.000000,272591.000000,407321.000000,192106.000000,124369.000000,121024.000000,170485.000000,198878.000000,117268.000000,121551.000000,142154.000000,96290.000000,73222.000000,134780.000000,37802.000000,211099.000000,81253.000000,16961.000000,-,-
2001,-,2996805.000000,387118.000000,448767.000000,246821.000000,236545.000000,298119.000000,91176.000000,105528.000000,123486.000000,163543.000000,121604.000000,110753.000000,150955.000000,38568.000000,92117.000000,63663.000000,134394.000000,31138.000000,118517.000000,18860.000000,15133.000000,-,-
2002,-,2116375.000000,133597.000000,128470.000000,150782.000000,212951.000000,234911.000000,79036.000000,99123.000000,113389.000000,165923.000000,102671.000000,118922.000000,160923.000000,21854.000000,68037.000000,67706.000000,115964.000000,28361.000000,113046.000000,709.000000,-,-,-
2003,-,1700438.000000,121015.000000,90642.000000,52716.000000,144720.000000,219534.000000,63462.000000,88018.000000,109895.000000,153961.000000,61887.000000,87434.000000,150528.000000,21311.000000,45558.000000,62444.000000,108991.000000,26256.000000,89614.000000,634.000000,1818.000000,-,-
2004,1474166.000000,1459069.000000,135831.000000,86669.000000,41906.000000,76774.000000,196315.000000,50928.000000,98119.000000,104600.000000,143352.000000,45557.000000,69750.000000,143496.000000,12279.000000,16495.000000,58910.000000,108505.000000,26563.000000,34650.000000,4367.000000,4002.000000,12075.000000,3022.000000
2005,1184599.000000,1167593.000000,110333.000000,83730.000000,21275.000000,36648.000000,176514.000000,41072.000000,13536.000000,96307.000000,136741.000000,33750.000000,52607.000000,137835.000000,4482.000000,4353.000000,53723.000000,95773.000000,27263.000000,21434.000000,13528.000000,6689.000000,14163.000000,2843.000000
2006,851015.000000,836530.000000,44825.000000,80422.000000,22316.000000,25248.000000,115634.000000,32435.000000,1299.000000,51882.000000,120967.000000,27457.000000,49543.000000,120887.000000,503.000000,3659.000000,50847.000000,53625.000000,20170.000000,-,10903.000000,3909.000000,12528.000000,1957.000000
2007,504944.000000,491350.000000,43443.000000,83044.000000,3295.000000,12644.000000,60009.000000,12522.000000,2326.000000,3969.000000,81315.000000,8864.000000,8686.000000,71087.000000,-,4956.000000,47197.000000,15158.000000,18568.000000,-,11576.000000,2691.000000,12026.000000,1568.000000
2008,236123.000000,223372.000000,17701.000000,-,7965.000000,5937.000000,31251.000000,7799.000000,183.000000,317.000000,15626.000000,1469.000000,953.000000,62721.000000,50.000000,29.000000,43393.000000,13382.000000,6152.000000,-,7380.000000,1062.000000,10953.000000,1797.000000
2009,185765.000000,173421.000000,9259.000000,-,284.000000,5723.000000,27152.000000,6452.000000,287.000000,-,9009.000000,378.000000,840.000000,46657.000000,70.000000,7917.000000,40492.000000,12728.000000,2732.000000,-,3441.000000,-,11060.000000,1284.000000
2010,181771.000000,170358.000000,8267.000000,-,302.000000,8048.000000,33788.000000,9418.000000,105.000000,5.000000,6170.000000,280.000000,510.000000,40243.000000,101.000000,127.000000,40217.000000,16344.000000,2448.000000,-,3986.000000,-,10524.000000,890.000000
2011,142155.000000,139831.000000,9672.000000,-,485.000000,5648.000000,5186.000000,18534.000000,277.000000,66.000000,5873.000000,139.000000,338.000000,37953.000000,4.000000,98.000000,22845.000000,26879.000000,2259.000000,-,3575.000000,-,1681.000000,642.000000
2012,102052.000000,99692.000000,8250.000000,-,999.000000,2331.000000,1210.000000,12203.000000,161.000000,22.000000,1209.000000,43.000000,107.000000,35640.000000,140.000000,231.000000,17570.000000,12250.000000,2215.000000,-,5110.000000,-,1680.000000,681.000000
2013,91355.000000,89024.000000,5814.000000,-,1434.000000,1078.000000,899.000000,12112.000000,234.000000,-,130.000000,58.000000,3.000000,33326.000000,842.000000,46.000000,14984.000000,12597.000000,2100.000000,-,3367.000000,-,1698.000000,633.000000
2014,83136.000000,81510.000000,7467.000000,-,1159.000000,880.000000,355.000000,9324.000000,152.000000,-,7.000000,18.000000,0.000000,31217.000000,-,-,12493.000000,13087.000000,1710.000000,-,3638.000000,-,1626.000000,-
2015,91655.000000,90200.000000,7030.000000,-,834.000000,838.000000,2798.000000,8343.000000,111.000000,1.000000,12.000000,283.000000,1336.000000,30339.000000,-,105.000000,19395.000000,14143.000000,788.000000,-,3844.000000,-,1456.000000,-
2016,77940.000000,76842.000000,-,-,602.000000,427.000000,1310.000000,8438.000000,74.000000,31.000000,19.000000,157.000000,382.000000,24853.000000,-,19.000000,25602.000000,10830.000000,338.000000,-,3759.000000,-,1098.000000,-
2017,70382.000000,69311.000000,1742.000000,-,631.000000,0.000000,1105.000000,7239.000000,-,346.000000,78.000000,7.000000,-,20577.000000,-,5506.000000,20696.000000,8604.000000,186.000000,-,2592.000000,-,1071.000000,-
2018,87251.000000,86181.000000,7371.000000,-,1570.000000,-,1488.000000,6556.000000,-,169.000000,378.000000,25.000000,7.000000,30609.000000,-,271.000000,26135.000000,7733.000000,521.000000,-,3348.000000,-,1070.000000,-